ds,yhat,yhat_lower,yhat_upper
2016-11-13,452.5288895363193,390.26524527623985,515.552610612368
2016-11-20,424.7035242684166,358.6341263315981,490.8933425947381
2016-11-27,391.12580718010145,330.2908475933234,455.73995666574154
2016-12-04,368.9034286290857,300.50433719169155,436.647042329493
2016-12-11,366.93080743532335,301.5093942658667,432.3940646927223
2016-12-18,382.2858181485924,320.0532516054031,449.40643230638693
2016-12-25,402.72175846219443,337.64860798026467,464.5920139629315
2017-01-01,413.67514389556527,348.0194453672656,477.81235015088816
2017-01-08,406.54671374262574,341.8772658174703,473.37753386029874
2017-01-15,383.8024651272958,317.8621706247218,450.95742052208294
2017-01-22,357.1269214710603,292.82863472370127,422.5916383342927
2017-01-29,338.7051756918516,276.8169331056903,401.2199993274531
2017-02-05,331.4899921189448,266.2835154825096,398.4608632713691
2017-02-12,326.76694718820397,264.9602958935657,394.188774888998
2017-02-19,312.2019944910333,248.80412811217732,375.5235502552096
2017-02-26,283.94016653632065,220.96670210475125,354.97965129535424
2017-03-05,251.40087634039497,187.8843818183793,315.79115519152265
2017-03-12,229.6913722592941,160.41380177913928,288.3974531622015
2017-03-19,226.5567172403303,163.29018150629415,289.24233726314566
2017-03-26,236.50828317110023,171.6430563064769,298.2998870660403
2017-04-02,247.54050203513765,178.46696937209222,313.7227987824651
2017-04-09,252.94612310340202,188.2846495292787,321.7533433671326
2017-04-16,255.91865015790967,190.79510397314522,320.0573531100197
2017-04-23,263.01340944639384,205.74143256002912,323.5295294859486
2017-04-30,274.7129623781128,209.7658155161446,342.4538058159498
2017-05-07,283.84020777568236,219.58690116743801,349.4815880848988
2017-05-14,283.0652818994714,218.93972065045472,350.44676410520407
2017-05-21,272.43897193598997,208.0047912450022,338.60031975992325
2017-05-28,258.42400032478247,199.26553552600583,324.21953538864096
2017-06-04,246.09571862355926,176.32808707679882,312.2054956668973
2017-06-11,233.88732206801203,169.17450343452754,293.6324795956019
2017-06-18,216.75496080222356,152.7538026464575,283.35588468085257
2017-06-25,193.55447507802967,126.79680531130536,256.0601925413681
2017-07-02,169.73243014416082,98.12065953566125,234.98085724929157
2017-07-09,152.2705271868654,84.63109556349484,216.98408731235986
2017-07-16,142.90024826539076,78.1691621227861,209.9028722014788
2017-07-23,137.31636340706342,73.55759938600103,205.13681242467044
2017-07-30,130.93099685513778,64.57789596194164,192.31357021024394
2017-08-06,124.3361711544768,55.951234140040754,188.99803932244123
2017-08-13,122.39273980861319,54.19855730143198,188.23951894643912
2017-08-20,128.2896291130258,65.87916608520098,191.59423367823018
2017-08-27,139.31316006280548,71.91248771455274,207.504802963247
2017-09-03,148.84710238524258,82.64397396977576,215.72747832664197
2017-09-10,152.52537456238636,89.72869534322618,210.96107055288914
2017-09-17,152.77438452237897,83.59285903123059,219.58545984235337
2017-09-24,158.17238996222318,94.70242807588072,228.5492573604435
2017-10-01,178.6378012270779,109.30485028668578,240.28977771633532
2017-10-08,219.78200742372212,154.343158711296,289.0057570002128
2017-10-15,279.0979659436791,211.41893653045943,344.316909044324
2017-10-22,345.3584500569738,279.8844423584056,409.54713971299395
2017-10-29,401.9292780862212,335.09910588350266,467.6224917403281
2017-11-05,433.5504821176502,366.5728679972663,499.42668750435035
2017-11-12,433.81419041811085,372.58287585455633,494.13388097011375
2017-11-19,408.94534017889,343.07498994647034,476.8871236667125
2017-11-26,375.00055394036883,308.49750476437407,439.03625289354494
2017-12-03,349.76345629836607,284.30205887448653,415.305998828595
2017-12-10,344.0307465606837,280.7358717465207,408.3166034345416
2017-12-17,356.98631105059775,286.88590470331815,421.6723283345457
2017-12-24,377.6225383154215,307.3942444650556,439.71748025459846
2017-12-31,391.1627884900888,322.8069751303143,456.64849965236715
2018-01-07,387.416757744565,322.5204370769907,452.7105911863618
2018-01-14,366.7791918114792,302.1102767679406,434.4031800786947
2018-01-21,339.7746827769607,272.1304308734719,405.455269076866
2018-01-28,319.29675550570744,256.3162363605409,382.64214527691206
2018-02-04,310.4280775277371,243.8314776030499,376.7289875902424
2018-02-11,306.21940243309393,238.93602250383947,370.57666627816195
2018-02-18,294.0701356736263,228.04103410724875,359.02430187481133
2018-02-25,267.9128197944667,201.62111965406785,336.39468010672454
2018-03-04,235.01841883480674,170.16514954324288,299.8078379248303
2018-03-11,210.4460787030463,144.46225438789955,279.09540588912614
2018-03-18,204.0371797133863,139.12945704379885,274.9200950290805
